"catfish_survival","water_depth"
0,0.2
1,0.298989898989899
1,0.397979797979798
1,0.496969696969697
1,0.595959595959596
0,0.694949494949495
1,0.793939393939394
1,0.892929292929293
0,0.991919191919192
1,1.09090909090909
1,1.18989898989899
0,1.28888888888889
1,1.38787878787879
1,1.48686868686869
1,1.58585858585859
1,1.68484848484849
0,1.78383838383838
1,1.88282828282828
1,1.98181818181818
1,2.08080808080808
0,2.17979797979798
1,2.27878787878788
1,2.37777777777778
1,2.47676767676768
1,2.57575757575758
1,2.67474747474748
0,2.77373737373737
0,2.87272727272727
1,2.97171717171717
1,3.07070707070707
1,3.16969696969697
1,3.26868686868687
1,3.36767676767677
1,3.46666666666667
1,3.56565656565657
1,3.66464646464647
1,3.76363636363636
1,3.86262626262626
0,3.96161616161616
1,4.06060606060606
1,4.15959595959596
1,4.25858585858586
1,4.35757575757576
1,4.45656565656566
1,4.55555555555556
1,4.65454545454546
1,4.75353535353535
0,4.85252525252525
1,4.95151515151515
1,5.05050505050505
1,5.14949494949495
1,5.24848484848485
1,5.34747474747475
1,5.44646464646465
1,5.54545454545455
1,5.64444444444445
1,5.74343434343434
1,5.84242424242424
1,5.94141414141414
1,6.04040404040404
1,6.13939393939394
1,6.23838383838384
1,6.33737373737374
1,6.43636363636364
1,6.53535353535354
1,6.63434343434344
1,6.73333333333333
1,6.83232323232323
1,6.93131313131313
1,7.03030303030303
1,7.12929292929293
1,7.22828282828283
1,7.32727272727273
1,7.42626262626263
1,7.52525252525253
1,7.62424242424243
1,7.72323232323232
1,7.82222222222222
1,7.92121212121212
1,8.02020202020202
1,8.11919191919192
1,8.21818181818182
1,8.31717171717172
1,8.41616161616162
1,8.51515151515152
1,8.61414141414141
1,8.71313131313131
1,8.81212121212121
1,8.91111111111111
1,9.01010101010101
1,9.10909090909091
1,9.20808080808081
1,9.30707070707071
1,9.40606060606061
1,9.50505050505051
1,9.6040404040404
1,9.7030303030303
1,9.8020202020202
1,9.9010101010101
1,10
